,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__shrinkage,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_auc_macro,split1_test_auc_macro,split2_test_auc_macro,split3_test_auc_macro,split4_test_auc_macro,split5_test_auc_macro,split6_test_auc_macro,split7_test_auc_macro,split8_test_auc_macro,split9_test_auc_macro,mean_test_auc_macro,std_test_auc_macro,rank_test_auc_macro
12,0.24755675792694093,0.008899298570019159,0.052916884422302246,0.005950167330401965,lsqr,0.4,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.4}",0.6046296296296296,0.5117003367003368,0.5776936026936027,0.618084693084693,0.4902680652680653,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5554713804713804,0.5622895622895623,0.5375468358801693,0.07234705543844612,9,0.5914774926970049,0.5497960976221846,0.5884901464611609,0.6060482727149394,0.4459984459984459,0.4228395061728395,0.6036716370049703,0.5001356668023335,0.6691115086463924,0.5231610530391018,0.5500729827159374,0.0732150000313512,5,0.7540729856957821,0.6434763973291739,0.7144667882937361,0.735882379446736,0.6925615638486926,0.6332783278327833,0.7333397625476835,0.6242490842490844,0.7430277280858677,0.6722653890824623,0.6946620406412002,0.04616074886531026,1,0.6046296296296296,0.5117003367003368,0.5776936026936027,0.618084693084693,0.4902680652680653,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5554713804713804,0.5622895622895623,0.5375468358801693,0.07234705543844612,9,0.7425742574257426,0.6435643564356436,0.7425742574257426,0.7128712871287128,0.693069306930693,0.6039603960396039,0.7425742574257426,0.6,0.72,0.67,0.6871188118811881,0.05263149631608577,5,0.5932999529898754,0.5138344436590051,0.5748969373324379,0.6036006184594345,0.46516697286961,0.42446581196581196,0.6028391319390558,0.3809061901411075,0.5481601325076646,0.5393628465879104,0.5246533038451913,0.07396476628894641,7,0.7451229815033638,0.6349827666398798,0.7222223681899371,0.718510970902273,0.6893633625150934,0.6080350342726579,0.7335476012459042,0.5873064549202061,0.7119410154866544,0.6692164170015832,0.6820248972677552,0.05230196656553065,3,,,,,,,,,,,,,1
13,0.24737977981567383,0.014853980536154702,0.05328426361083984,0.004418649010007079,eigen,0.4,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.4}",0.6046296296296296,0.5117003367003368,0.5776936026936027,0.618084693084693,0.4902680652680653,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5554713804713804,0.5622895622895623,0.5375468358801693,0.07234705543844612,9,0.5914774926970049,0.5497960976221846,0.5884901464611609,0.6060482727149394,0.4459984459984459,0.4228395061728395,0.6036716370049703,0.5001356668023335,0.6691115086463924,0.5231610530391018,0.5500729827159374,0.0732150000313512,5,0.7540729856957821,0.6434763973291739,0.7144667882937361,0.735882379446736,0.6925615638486926,0.6332783278327833,0.7333397625476835,0.6242490842490844,0.7430277280858677,0.6722653890824623,0.6946620406412002,0.04616074886531026,1,0.6046296296296296,0.5117003367003368,0.5776936026936027,0.618084693084693,0.4902680652680653,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5554713804713804,0.5622895622895623,0.5375468358801693,0.07234705543844612,9,0.7425742574257426,0.6435643564356436,0.7425742574257426,0.7128712871287128,0.693069306930693,0.6039603960396039,0.7425742574257426,0.6,0.72,0.67,0.6871188118811881,0.05263149631608577,5,0.5932999529898754,0.5138344436590051,0.5748969373324379,0.6036006184594345,0.46516697286961,0.42446581196581196,0.6028391319390558,0.3809061901411075,0.5481601325076646,0.5393628465879104,0.5246533038451913,0.07396476628894641,7,0.7451229815033638,0.6349827666398798,0.7222223681899371,0.718510970902273,0.6893633625150934,0.6080350342726579,0.7335476012459042,0.5873064549202061,0.7119410154866544,0.6692164170015832,0.6820248972677552,0.05230196656553065,3,,,,,,,,,,,,,1
14,0.2440464973449707,0.00879215987510873,0.054334592819213864,0.005594157527370517,lsqr,0.5,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.5}",0.5953703703703703,0.49991582491582487,0.5776936026936027,0.618084693084693,0.5111434861434861,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5415824915824916,0.5622895622895623,0.5361411119744453,0.0707598523486787,11,0.5885632885632885,0.5040878874212207,0.5849109369995985,0.6072353572353573,0.47716049382716047,0.41358024691358025,0.5917262180828071,0.49313476345996676,0.661952861952862,0.5196386946386945,0.5441990749094536,0.07078073811697595,11,0.7417781888078917,0.6211928885196212,0.7134683691240881,0.7358400675232359,0.7051705170517051,0.6308030803080308,0.7309416694288902,0.6306921736799787,0.7308333333333333,0.6775559440559441,0.6918276231832718,0.045589853682471586,7,0.5953703703703703,0.49991582491582487,0.5776936026936027,0.618084693084693,0.5111434861434861,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5415824915824916,0.5622895622895623,0.5361411119744453,0.0707598523486787,11,0.7326732673267327,0.6237623762376238,0.7425742574257426,0.7128712871287128,0.6732673267326733,0.6039603960396039,0.7425742574257426,0.6,0.71,0.67,0.6811683168316831,0.05297399450406116,9,0.5870082322955886,0.4934622135864004,0.5747874682574516,0.606968975024722,0.4899315281668222,0.41917480667480667,0.5990827128902828,0.37667917633817033,0.539149666600647,0.5372095698182654,0.5223454349653157,0.0736425566850739,9,0.7342689342825909,0.6172886075462323,0.7232368538749587,0.7189498675504326,0.6829686329977536,0.6066206071156566,0.7340706777557399,0.5900912897843843,0.7019738562091503,0.6711387163561077,0.6780608043473008,0.05214276943271585,7,,,,,,,,,,,,,1
15,0.25311689376831054,0.012478232777110135,0.05308330059051514,0.004303860695801624,eigen,0.5,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.5}",0.5953703703703703,0.49991582491582487,0.5776936026936027,0.618084693084693,0.5111434861434861,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5415824915824916,0.5622895622895623,0.5361411119744453,0.0707598523486787,11,0.5885632885632885,0.5040878874212207,0.5849109369995985,0.6072353572353573,0.47716049382716047,0.41358024691358025,0.5917262180828071,0.49313476345996676,0.661952861952862,0.5196386946386945,0.5441990749094536,0.07078073811697595,11,0.7417781888078917,0.6211928885196212,0.7134683691240881,0.7358400675232359,0.7051705170517051,0.6308030803080308,0.7309416694288902,0.6306921736799787,0.7308333333333333,0.6775559440559441,0.6918276231832718,0.045589853682471586,7,0.5953703703703703,0.49991582491582487,0.5776936026936027,0.618084693084693,0.5111434861434861,0.4431537598204265,0.617929292929293,0.3942480359147026,0.5415824915824916,0.5622895622895623,0.5361411119744453,0.0707598523486787,11,0.7326732673267327,0.6237623762376238,0.7425742574257426,0.7128712871287128,0.6732673267326733,0.6039603960396039,0.7425742574257426,0.6,0.71,0.67,0.6811683168316831,0.05297399450406116,9,0.5870082322955886,0.4934622135864004,0.5747874682574516,0.606968975024722,0.4899315281668222,0.41917480667480667,0.5990827128902828,0.37667917633817033,0.539149666600647,0.5372095698182654,0.5223454349653157,0.0736425566850739,9,0.7342689342825909,0.6172886075462323,0.7232368538749587,0.7189498675504326,0.6829686329977536,0.6066206071156566,0.7340706777557399,0.5900912897843843,0.7019738562091503,0.6711387163561077,0.6780608043473008,0.05214276943271585,7,,,,,,,,,,,,,1
16,0.24808876514434813,0.013043758243267279,0.0569899320602417,0.009588566094729809,lsqr,0.6000000000000001,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.6000000000000001}",0.6040123456790124,0.4973905723905724,0.5983164983164984,0.6301605801605802,0.5035677285677286,0.4313692480359147,0.586952861952862,0.4380190796857463,0.5365319865319864,0.5505050505050506,0.5376825951825952,0.06576032047646793,7,0.5904047172339855,0.4913012913012913,0.5751162417829084,0.5927827177827178,0.45031080031080034,0.4030142696809363,0.5888512496236074,0.41577053243719914,0.6541102077687444,0.5055860805860806,0.5267248108508271,0.08124233159597119,13,0.7453721960242123,0.6284850463068286,0.7046133184747045,0.7247714153654748,0.6872752659881373,0.6236745103081737,0.72284472349674,0.6406814671814672,0.7297764227642277,0.6630494505494505,0.6870543816459416,0.04290930851429762,13,0.6040123456790124,0.4973905723905724,0.5983164983164984,0.6301605801605802,0.5035677285677286,0.4313692480359147,0.586952861952862,0.4380190796857463,0.5365319865319864,0.5505050505050506,0.5376825951825952,0.06576032047646793,7,0.7326732673267327,0.6138613861386139,0.7326732673267327,0.693069306930693,0.6435643564356436,0.5841584158415841,0.7227722772277227,0.61,0.69,0.65,0.6672772277227723,0.051689469855965675,13,0.591799833441222,0.4848416907902833,0.5826769091474974,0.6027659168497375,0.4694847636024106,0.4081616461363297,0.5805169514199442,0.41265507469211177,0.5310457516339869,0.5231432870093394,0.5187091824722863,0.06894199185270085,13,0.7353464885705673,0.6153925203676164,0.7150178883434561,0.7009764050757623,0.6542141609118894,0.5935911667394309,0.7181926861416791,0.6119926061592728,0.6898823529411764,0.6524145670535465,0.6687020842304398,0.0476454542986735,11,,,,,,,,,,,,,1
17,0.25740938186645507,0.018125888925007078,0.05286610126495361,0.006008550284427991,eigen,0.6000000000000001,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.6000000000000001}",0.6040123456790124,0.4973905723905724,0.5983164983164984,0.6301605801605802,0.5035677285677286,0.4313692480359147,0.586952861952862,0.4380190796857463,0.5365319865319864,0.5505050505050506,0.5376825951825952,0.06576032047646793,7,0.5904047172339855,0.4913012913012913,0.5751162417829084,0.5927827177827178,0.45031080031080034,0.4030142696809363,0.5888512496236074,0.41577053243719914,0.6541102077687444,0.5055860805860806,0.5267248108508271,0.08124233159597119,13,0.7453721960242123,0.6284850463068286,0.7046133184747045,0.7247714153654748,0.6872752659881373,0.6236745103081737,0.72284472349674,0.6406814671814672,0.7297764227642277,0.6630494505494505,0.6870543816459416,0.04290930851429762,13,0.6040123456790124,0.4973905723905724,0.5983164983164984,0.6301605801605802,0.5035677285677286,0.4313692480359147,0.586952861952862,0.4380190796857463,0.5365319865319864,0.5505050505050506,0.5376825951825952,0.06576032047646793,7,0.7326732673267327,0.6138613861386139,0.7326732673267327,0.693069306930693,0.6435643564356436,0.5841584158415841,0.7227722772277227,0.61,0.69,0.65,0.6672772277227723,0.051689469855965675,13,0.591799833441222,0.4848416907902833,0.5826769091474974,0.6027659168497375,0.4694847636024106,0.4081616461363297,0.5805169514199442,0.41265507469211177,0.5310457516339869,0.5231432870093394,0.5187091824722863,0.06894199185270085,13,0.7353464885705673,0.6153925203676164,0.7150178883434561,0.7009764050757623,0.6542141609118894,0.5935911667394309,0.7181926861416791,0.6119926061592728,0.6898823529411764,0.6524145670535465,0.6687020842304398,0.0476454542986735,11,,,,,,,,,,,,,1
18,0.251369833946228,0.010978342292453539,0.054556965827941895,0.004016709313262981,lsqr,0.7000000000000001,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.7000000000000001}",0.5929012345679012,0.48055555555555557,0.6652356902356902,0.6276353276353276,0.5103017353017353,0.4608305274971942,0.5844276094276094,0.4864197530864198,0.5314814814814814,0.585858585858586,0.55256475006475,0.06502876640896252,5,0.5683249451542134,0.4477263977263978,0.6404240820907487,0.589001739001739,0.4690055315055315,0.40125629050360234,0.5512626262626262,0.4455026455026455,0.5410781226570701,0.5333533750200417,0.5186935755424616,0.07117247913547994,17,0.7372483067122043,0.616002016002016,0.7522795136656523,0.727008964632727,0.6875508979469376,0.6261877800683294,0.7132313231323132,0.6661428571428571,0.7037078272604588,0.704966810966811,0.6934326297530307,0.04293884144957364,3,0.5929012345679012,0.48055555555555557,0.6652356902356902,0.6276353276353276,0.5103017353017353,0.4608305274971942,0.5844276094276094,0.4864197530864198,0.5314814814814814,0.585858585858586,0.55256475006475,0.06502876640896252,5,0.7227722772277227,0.5742574257425742,0.7524752475247525,0.6831683168316832,0.6237623762376238,0.5643564356435643,0.7128712871287128,0.62,0.67,0.67,0.6593663366336633,0.059525460625682994,15,0.5778048107505472,0.45441690646369004,0.6482933914306463,0.5936432185506927,0.4803760242356733,0.41164778576543287,0.5637773782281791,0.44886756859330695,0.5263278753235712,0.5506488443330549,0.5255803803674794,0.07104898793709345,5,0.7274961383181507,0.5879671676440826,0.7481783472464894,0.693507654423183,0.642230388452379,0.5768550843448922,0.7087827187426162,0.6278330319469559,0.6797709913233586,0.6788528822055139,0.6671474404647622,0.054333607686246774,15,,,,,,,,,,,,,1
19,0.250339412689209,0.011140086426160191,0.05441296100616455,0.006376829213304671,eigen,0.7000000000000001,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.7000000000000001}",0.5929012345679012,0.48055555555555557,0.6652356902356902,0.6276353276353276,0.5103017353017353,0.4608305274971942,0.5844276094276094,0.4864197530864198,0.5314814814814814,0.585858585858586,0.55256475006475,0.06502876640896252,5,0.5683249451542134,0.4477263977263978,0.6404240820907487,0.589001739001739,0.4690055315055315,0.40125629050360234,0.5512626262626262,0.4455026455026455,0.5410781226570701,0.5333533750200417,0.5186935755424616,0.07117247913547994,17,0.7372483067122043,0.616002016002016,0.7522795136656523,0.727008964632727,0.6875508979469376,0.6261877800683294,0.7132313231323132,0.6661428571428571,0.7037078272604588,0.704966810966811,0.6934326297530307,0.04293884144957364,3,0.5929012345679012,0.48055555555555557,0.6652356902356902,0.6276353276353276,0.5103017353017353,0.4608305274971942,0.5844276094276094,0.4864197530864198,0.5314814814814814,0.585858585858586,0.55256475006475,0.06502876640896252,5,0.7227722772277227,0.5742574257425742,0.7524752475247525,0.6831683168316832,0.6237623762376238,0.5643564356435643,0.7128712871287128,0.62,0.67,0.67,0.6593663366336633,0.059525460625682994,15,0.5778048107505472,0.45441690646369004,0.6482933914306463,0.5936432185506927,0.4803760242356733,0.41164778576543287,0.5637773782281791,0.44886756859330695,0.5263278753235712,0.5506488443330549,0.5255803803674794,0.07104898793709345,5,0.7274961383181507,0.5879671676440826,0.7481783472464894,0.693507654423183,0.642230388452379,0.5768550843448922,0.7087827187426162,0.6278330319469559,0.6797709913233586,0.6788528822055139,0.6671474404647622,0.054333607686246774,15,,,,,,,,,,,,,1
20,0.2439591646194458,0.00800199287974135,0.05556948184967041,0.006260820183073804,lsqr,0.8,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.8}",0.5929012345679012,0.4745791245791246,0.6551346801346801,0.6621471121471121,0.5191401191401191,0.47682379349046017,0.5746071829405163,0.48852413019079677,0.5659932659932659,0.571969696969697,0.5581820340153674,0.06474564148212922,3,0.5673820608779958,0.4454915454915454,0.6144099727433061,0.6054816643051937,0.46827801827801824,0.42229484386347127,0.535484246256604,0.4476190476190476,0.5591642924976259,0.5269400352733685,0.5192545727206177,0.06579787361976847,15,0.7382517037552053,0.6116464393692116,0.7353849670681354,0.7315573186277904,0.6903797522609405,0.6315958066394874,0.7113235713815284,0.6585714285714286,0.7117905982905982,0.7092063492063493,0.6929707935170675,0.042265133432859155,5,0.5929012345679012,0.4745791245791246,0.6551346801346801,0.6621471121471121,0.5191401191401191,0.47682379349046017,0.5746071829405163,0.48852413019079677,0.5659932659932659,0.571969696969697,0.5581820340153674,0.06474564148212922,3,0.7227722772277227,0.5544554455445545,0.7128712871287128,0.6831683168316832,0.6138613861386139,0.5544554455445545,0.7128712871287128,0.61,0.67,0.66,0.6494455445544555,0.05996831500083038,19,0.5770858565021811,0.4510795923876092,0.6295103226475777,0.6163229298379989,0.4806502750947195,0.4284488048855865,0.5501408904946842,0.4524479271314714,0.5502303143479614,0.5401002848396743,0.5276017198169465,0.06739528551545988,3,0.7279957176878525,0.5749332130319722,0.7173909827957586,0.6938633729829372,0.6338421036440839,0.5731485400314352,0.7081635236961767,0.6214080771549126,0.681524649859944,0.6747895649399002,0.6607059745824974,0.05386442216411437,17,,,,,,,,,,,,,1
21,0.2581017971038818,0.02091762528705844,0.05219171047210693,0.00406473410149384,eigen,0.8,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.8}",0.5929012345679012,0.4745791245791246,0.6551346801346801,0.6621471121471121,0.5191401191401191,0.47682379349046017,0.5746071829405163,0.48852413019079677,0.5659932659932659,0.571969696969697,0.5581820340153674,0.06474564148212922,3,0.5673820608779958,0.4454915454915454,0.6144099727433061,0.6054816643051937,0.46827801827801824,0.42229484386347127,0.535484246256604,0.4476190476190476,0.5591642924976259,0.5269400352733685,0.5192545727206177,0.06579787361976847,15,0.7382517037552053,0.6116464393692116,0.7353849670681354,0.7315573186277904,0.6903797522609405,0.6315958066394874,0.7113235713815284,0.6585714285714286,0.7117905982905982,0.7092063492063493,0.6929707935170675,0.042265133432859155,5,0.5929012345679012,0.4745791245791246,0.6551346801346801,0.6621471121471121,0.5191401191401191,0.47682379349046017,0.5746071829405163,0.48852413019079677,0.5659932659932659,0.571969696969697,0.5581820340153674,0.06474564148212922,3,0.7227722772277227,0.5544554455445545,0.7128712871287128,0.6831683168316832,0.6138613861386139,0.5544554455445545,0.7128712871287128,0.61,0.67,0.66,0.6494455445544555,0.05996831500083038,19,0.5770858565021811,0.4510795923876092,0.6295103226475777,0.6163229298379989,0.4806502750947195,0.4284488048855865,0.5501408904946842,0.4524479271314714,0.5502303143479614,0.5401002848396743,0.5276017198169465,0.06739528551545988,3,0.7279957176878525,0.5749332130319722,0.7173909827957586,0.6938633729829372,0.6338421036440839,0.5731485400314352,0.7081635236961767,0.6214080771549126,0.681524649859944,0.6747895649399002,0.6607059745824974,0.05386442216411437,17,,,,,,,,,,,,,1
22,0.2426398515701294,0.009824537725790262,0.05548815727233887,0.0032863337336539117,lsqr,0.9,"{'clf__solver': 'lsqr', 'clf__shrinkage': 0.9}",0.633641975308642,0.5015151515151515,0.650084175084175,0.6596218596218597,0.5393421393421394,0.5052749719416386,0.5670314253647587,0.46663860830527487,0.5144781144781145,0.5694444444444444,0.5607072865406199,0.06420832882062782,1,0.5634726384726384,0.4339506172839506,0.6007295173961841,0.5973470973470973,0.48011268566824117,0.44711768219832737,0.5309247445212357,0.4111500155617802,0.47419987419987425,0.5226625226625227,0.5061667395311852,0.06391857621590341,19,0.743984233588194,0.6171617161716171,0.7499607103567498,0.7286591296492287,0.6858979121355359,0.6319333546257851,0.7007349419152442,0.6296491596638656,0.6618183483183483,0.7162087912087912,0.6866008297633359,0.046713077549127804,15,0.633641975308642,0.5015151515151515,0.650084175084175,0.6596218596218597,0.5393421393421394,0.5052749719416386,0.5670314253647587,0.46663860830527487,0.5144781144781145,0.5694444444444444,0.5607072865406199,0.06420832882062782,1,0.6831683168316832,0.5247524752475248,0.693069306930693,0.6732673267326733,0.594059405940594,0.5643564356435643,0.6831683168316832,0.55,0.58,0.65,0.6195841584158416,0.060329500759544616,22,0.5857115822091666,0.44333857667191,0.6138539679561351,0.6072135207285898,0.49339075982268465,0.45764746509844545,0.5359953714017716,0.4178591518821404,0.4810997552174023,0.5323649190315857,0.5168475070019831,0.06592494561231449,15,0.6998950348928825,0.5517225853859516,0.7094982386341242,0.6852099801711286,0.6140898295060894,0.5808812012422963,0.6823834072545264,0.5689171262619539,0.6034485880838822,0.6685968253968254,0.6364642816829661,0.05594509197658299,22,,,,,,,,,,,,,1
23,0.24750678539276122,0.010652514381813359,0.056187987327575684,0.006149906629978569,eigen,0.9,"{'clf__solver': 'eigen', 'clf__shrinkage': 0.9}",0.633641975308642,0.5015151515151515,0.650084175084175,0.6596218596218597,0.5393421393421394,0.5052749719416386,0.5670314253647587,0.46663860830527487,0.5144781144781145,0.5694444444444444,0.5607072865406199,0.06420832882062782,1,0.5634726384726384,0.4339506172839506,0.6007295173961841,0.5973470973470973,0.48011268566824117,0.44711768219832737,0.5309247445212357,0.4111500155617802,0.47419987419987425,0.5226625226625227,0.5061667395311852,0.06391857621590341,19,0.743984233588194,0.6171617161716171,0.7499607103567498,0.7286591296492287,0.6858979121355359,0.6319333546257851,0.7007349419152442,0.6296491596638656,0.6618183483183483,0.7162087912087912,0.6866008297633359,0.046713077549127804,15,0.633641975308642,0.5015151515151515,0.650084175084175,0.6596218596218597,0.5393421393421394,0.5052749719416386,0.5670314253647587,0.46663860830527487,0.5144781144781145,0.5694444444444444,0.5607072865406199,0.06420832882062782,1,0.6831683168316832,0.5247524752475248,0.693069306930693,0.6732673267326733,0.594059405940594,0.5643564356435643,0.6831683168316832,0.55,0.58,0.65,0.6195841584158416,0.060329500759544616,22,0.5857115822091666,0.44333857667191,0.6138539679561351,0.6072135207285898,0.49339075982268465,0.45764746509844545,0.5359953714017716,0.4178591518821404,0.4810997552174023,0.5323649190315857,0.5168475070019831,0.06592494561231449,15,0.6998950348928825,0.5517225853859516,0.7094982386341242,0.6852099801711286,0.6140898295060894,0.5808812012422963,0.6823834072545264,0.5689171262619539,0.6034485880838822,0.6685968253968254,0.6364642816829661,0.05594509197658299,22,,,,,,,,,,,,,1
24,0.24161617755889891,0.011702907435641391,0.05409712791442871,0.007578456484472839,lsqr,1.0,"{'clf__solver': 'lsqr', 'clf__shrinkage': 1.0}",0.5629629629629629,0.39494949494949494,0.5825757575757575,0.5660580160580161,0.5309246309246309,0.4828282828282828,0.4368967452300786,0.4211840628507295,0.433361391694725,0.5134680134680134,0.49252093585426915,0.06456799626717354,23,0.4896893230226564,0.35685425685425687,0.516347849681183,0.4813347763347763,0.44968734968734964,0.41865881032547697,0.4015025098358431,0.4013022538384857,0.380039591185102,0.47912958725315696,0.43745463080182867,0.05050767359442099,24,0.6949139968941949,0.5455431257411456,0.692910939445593,0.6670901375851871,0.6434872058634435,0.6064849342077064,0.6208192797301709,0.6130244465679248,0.5939938420712415,0.6928951454723766,0.6371163053578984,0.04746935643539011,24,0.5629629629629629,0.39494949494949494,0.5825757575757575,0.5660580160580161,0.5309246309246309,0.4828282828282828,0.4368967452300786,0.4211840628507295,0.433361391694725,0.5134680134680134,0.49252093585426915,0.06456799626717354,23,0.5346534653465347,0.40594059405940597,0.6039603960396039,0.5544554455445545,0.5148514851485149,0.504950495049505,0.504950495049505,0.45,0.43,0.53,0.5033762376237624,0.056812661977110344,24,0.4904773670619499,0.3449993304482468,0.5324248862185775,0.49878658155919936,0.4577505171326681,0.4236266170476697,0.3943589743589743,0.37653960191273617,0.3763564213564214,0.4634340084091328,0.43587543055055755,0.05890190536876471,24,0.5663882363703916,0.4409943733120633,0.6273348197077654,0.579347676769741,0.5348744846320577,0.5324097823316166,0.5386536345942288,0.4886456081232201,0.4565345598845599,0.5672309965324891,0.5332414172258133,0.05445021080465717,24,,,,,,,,,,,,,1
25,0.2381509065628052,0.014629411895104283,0.05114595890045166,0.0053123125883153734,eigen,1.0,"{'clf__solver': 'eigen', 'clf__shrinkage': 1.0}",0.5629629629629629,0.39494949494949494,0.5825757575757575,0.5660580160580161,0.5309246309246309,0.4828282828282828,0.4368967452300786,0.4211840628507295,0.433361391694725,0.5134680134680134,0.49252093585426915,0.06456799626717354,23,0.4896893230226564,0.35685425685425687,0.516347849681183,0.4813347763347763,0.44968734968734964,0.41865881032547697,0.4015025098358431,0.4013022538384857,0.380039591185102,0.47912958725315696,0.43745463080182867,0.05050767359442099,24,0.6949139968941949,0.5455431257411456,0.692910939445593,0.6670901375851871,0.6434872058634435,0.6064849342077064,0.6208192797301709,0.6130244465679248,0.5939938420712415,0.6928951454723766,0.6371163053578984,0.04746935643539011,24,0.5629629629629629,0.39494949494949494,0.5825757575757575,0.5660580160580161,0.5309246309246309,0.4828282828282828,0.4368967452300786,0.4211840628507295,0.433361391694725,0.5134680134680134,0.49252093585426915,0.06456799626717354,23,0.5346534653465347,0.40594059405940597,0.6039603960396039,0.5544554455445545,0.5148514851485149,0.504950495049505,0.504950495049505,0.45,0.43,0.53,0.5033762376237624,0.056812661977110344,24,0.4904773670619499,0.3449993304482468,0.5324248862185775,0.49878658155919936,0.4577505171326681,0.4236266170476697,0.3943589743589743,0.37653960191273617,0.3763564213564214,0.4634340084091328,0.43587543055055755,0.05890190536876471,24,0.5663882363703916,0.4409943733120633,0.6273348197077654,0.579347676769741,0.5348744846320577,0.5324097823316166,0.5386536345942288,0.4886456081232201,0.4565345598845599,0.5672309965324891,0.5332414172258133,0.05445021080465717,24,,,,,,,,,,,,,1
